Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Biathlon,Biathlon,"BERTHET, G.",France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"MANDRILLON, C.",France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"MANDRILLON, Maurice",France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"VANDELLE, André",France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"AUFDENBLATTEN, Adolf",Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"JULEN, Alphonse",Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"JULEN, Ant.",Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"VAUCHER, D.",Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"BREMER, V.E.",Finland,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"ESKELINEN, A.",Finland,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"HIRVONEN, H.",Finland,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"LAPPALAINEN, Martti",Finland,Men,Military Patrol,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"MORTIAUX, René",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"MULDER, Charles",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"VAN DEN BROECK, Paul",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"VERSCHUEREN, Victor",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"WILLIEMS, Henri",Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"NEVEU, Alfred",Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHERRER, Eduard",Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Alfred",Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Heinrich",Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"ARNOLD, Thomas",United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"BROOME, Ralpf",United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"RICHARDSON, Alexander",United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"SOHER, Rodney",United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Curling,Curling,"ALDEERT, H.",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"ANDRE, Georges",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,BENEDIC,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"CANIVET, P.",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"COURNOLLET, F.",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"PLANQUE, R.",France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"AIKMAN, T.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"ASTLEY, D.-G.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"BROWN, V.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"COUSIN, R.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"JACKSON, V.-K.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"MC LEOD, J.",United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"MURRAY, T.-B.",United Kingdom,Men,Curling,Gold
